1, AnnotationOutput.xml, DIFF, [ComponentDefinition http://partsregistry.org/cd/BBa_J23119 differ.]
2, simple_attachment_plan_ann.xml, DIFF, [Attachment http://sys-bio.org/Attachment/characterization_protocol/1.0.0 differ.]
3, memberAnnotations.xml, DIFF, [Model http://www.async.ece.utah.edu/someModel/1.0 differ.]
4, singleModel.xml, DIFF, [Model http://www.async.ece.utah.edu/ToggleModel/1.0 differ.]
5, ComponentDefinitionOutput.xml, VALERROR, Could not validate the SBOL document:; sbol3-10807 - If a SubComponent object has at least one hasLocation and zero sourceLocation properties;  and the Component linked by its instanceOf has precisely one hasSequence property whose Sequence has a value for its elements property;  then the sum of the lengths of the Location objects referred to by the hasLocation properties MUST equal the length of the elements value of the Sequence. ADDITIONAL INFORMATION: Sequence length:129;  Calculated location length:130;  Sequence: http://partsregistry.org/seq/BBa_B0015; ; ; Value: [http://partsregistry.org/cd/BBa_F2620/ter/range]; ; ; Property: components[5].subComponents[1].hasLocation; ; ; Entity URI: http://partsregistry.org/cd/BBa_F2620/ter; ; ; Entity Type: class org.sbolstandard.core3.entity.SubComponent; ; sbol3-10807 - If a SubComponent object has at least one hasLocation and zero sourceLocation properties;  and the Component linked by its instanceOf has precisely one hasSequence property whose Sequence has a value for its elements property;  then the sum of the lengths of the Location objects referred to by the hasLocation properties MUST equal the length of the elements value of the Sequence. ADDITIONAL INFORMATION: Sequence length:701;  Calculated location length:13;  Sequence: http://partsregistry.org/seq/BBa_C0062; ; ; Value: [http://partsregistry.org/cd/BBa_F2620/rbs/range]; ; ; Property: components[5].subComponents[2].hasLocation; ; ; Entity URI: http://partsregistry.org/cd/BBa_F2620/rbs; ; ; Entity Type: class org.sbolstandard.core3.entity.SubComponent; ; sbol3-10807 - If a SubComponent object has at least one hasLocation and zero sourceLocation properties;  and the Component linked by its instanceOf has precisely one hasSequence property whose Sequence has a value for its elements property;  then the sum of the lengths of the Location objects referred to by the hasLocation properties MUST equal the length of the elements value of the Sequence. ADDITIONAL INFORMATION: Sequence length:55;  Calculated location length:56;  Sequence: http://partsregistry.org/seq/BBa_R0062; ; ; Value: [http://partsregistry.org/cd/BBa_F2620/pLuxR/range]; ; ; Property: components[5].subComponents[3].hasLocation; ; ; Entity URI: http://partsregistry.org/cd/BBa_F2620/pLuxR; ; ; Entity Type: class org.sbolstandard.core3.entity.SubComponent; ; sbol3-10807 - If a SubComponent object has at least one hasLocation and zero sourceLocation properties;  and the Component linked by its instanceOf has precisely one hasSequence property whose Sequence has a value for its elements property;  then the sum of the lengths of the Location objects referred to by the hasLocation properties MUST equal the length of the elements value of the Sequence. ADDITIONAL INFORMATION: Sequence length:54;  Calculated location length:55;  Sequence: http://partsregistry.org/seq/BBa_R0040; ; ; Value: [http://partsregistry.org/cd/BBa_F2620/pTetR/range]; ; ; Property: components[5].subComponents[4].hasLocation; ; ; Entity URI: http://partsregistry.org/cd/BBa_F2620/pTetR; ; ; Entity Type: class org.sbolstandard.core3.entity.SubComponent; ; sbol3-10807 - If a SubComponent object has at least one hasLocation and zero sourceLocation properties;  and the Component linked by its instanceOf has precisely one hasSequence property whose Sequence has a value for its elements property;  then the sum of the lengths of the Location objects referred to by the hasLocation properties MUST equal the length of the elements value of the Sequence. ADDITIONAL INFORMATION: Sequence length:12;  Calculated location length:702;  Sequence: http://partsregistry.org/seq/BBa_B0034; ; ; Value: [http://partsregistry.org/cd/BBa_F2620/luxR/range]; ; ; Property: components[5].subComponents[0].hasLocation; ; ; Entity URI: http://partsregistry.org/cd/BBa_F2620/luxR; ; ; Entity Type: class org.sbolstandard.core3.entity.SubComponent
6, attachment_ann.xml, DIFF, [Attachment http://sys-bio.org/Attachment/characterization_protocol/1.0.0 differ.]
7, simple_attachment_ref.xml, DIFF, [Attachment http://sys-bio.org/Attachment/characterization_protocol/1.0.0 differ.]
8, test_source_location.xml, DIFF, [ComponentDefinition http://partsregistry.org/cd/cd_comp differ., ->Component http://partsregistry.org/cd/cd_comp/base1 differ., ->Component http://partsregistry.org/cd/cd_comp/base2 differ.]
9, ModuleDefinitionOutput.xml, VALERROR, Could not validate the SBOL document:; sbol3-10807 - If a SubComponent object has at least one hasLocation and zero sourceLocation properties;  and the Component linked by its instanceOf has precisely one hasSequence property whose Sequence has a value for its elements property;  then the sum of the lengths of the Location objects referred to by the hasLocation properties MUST equal the length of the elements value of the Sequence. ADDITIONAL INFORMATION: Sequence length:12;  Calculated location length:13;  Sequence: http://www.virtualparts.org/part/BBa_J61130; ; ; Value: [http://www.virtualparts.org/part/pIKERightCassette_1/BBa_J61130/location4]; ; ; Property: components[5].subComponents[0].hasLocation; ; ; Entity URI: http://www.virtualparts.org/part/pIKERightCassette_1/BBa_J61130; ; ; Entity Type: class org.sbolstandard.core3.entity.SubComponent; ; sbol3-10807 - If a SubComponent object has at least one hasLocation and zero sourceLocation properties;  and the Component linked by its instanceOf has precisely one hasSequence property whose Sequence has a value for its elements property;  then the sum of the lengths of the Location objects referred to by the hasLocation properties MUST equal the length of the elements value of the Sequence. ADDITIONAL INFORMATION: Sequence length:54;  Calculated location length:55;  Sequence: http://www.virtualparts.org/part/BBa_R0010; ; ; Value: [http://www.virtualparts.org/part/pIKERightCassette_1/BBa_R0010/location1]; ; ; Property: components[5].subComponents[1].hasLocation; ; ; Entity URI: http://www.virtualparts.org/part/pIKERightCassette_1/BBa_R0010; ; ; Entity Type: class org.sbolstandard.core3.entity.SubComponent; ; sbol3-10807 - If a SubComponent object has at least one hasLocation and zero sourceLocation properties;  and the Component linked by its instanceOf has precisely one hasSequence property whose Sequence has a value for its elements property;  then the sum of the lengths of the Location objects referred to by the hasLocation properties MUST equal the length of the elements value of the Sequence. ADDITIONAL INFORMATION: Sequence length:54;  Calculated location length:55;  Sequence: http://www.virtualparts.org/part/BBa_R0040; ; ; Value: [http://www.virtualparts.org/part/pIKELeftCassette_1/BBa_R0040/location1]; ; ; Property: components[0].subComponents[2].hasLocation; ; ; Entity URI: http://www.virtualparts.org/part/pIKELeftCassette_1/BBa_R0040; ; ; Entity Type: class org.sbolstandard.core3.entity.SubComponent; ; sbol3-10807 - If a SubComponent object has at least one hasLocation and zero sourceLocation properties;  and the Component linked by its instanceOf has precisely one hasSequence property whose Sequence has a value for its elements property;  then the sum of the lengths of the Location objects referred to by the hasLocation properties MUST equal the length of the elements value of the Sequence. ADDITIONAL INFORMATION: Sequence length:1128;  Calculated location length:1129;  Sequence: http://www.virtualparts.org/part/BBa_C0012; ; ; Value: [http://www.virtualparts.org/part/pIKELeftCassette_1/BBa_C0012/location3]; ; ; Property: components[0].subComponents[1].hasLocation; ; ; Entity URI: http://www.virtualparts.org/part/pIKELeftCassette_1/BBa_C0012; ; ; Entity Type: class org.sbolstandard.core3.entity.SubComponent; ; sbol3-10807 - If a SubComponent object has at least one hasLocation and zero sourceLocation properties;  and the Component linked by its instanceOf has precisely one hasSequence property whose Sequence has a value for its elements property;  then the sum of the lengths of the Location objects referred to by the hasLocation properties MUST equal the length of the elements value of the Sequence. ADDITIONAL INFORMATION: Sequence length:660;  Calculated location length:661;  Sequence: http://www.virtualparts.org/part/BBa_C0040; ; ; Value: [http://www.virtualparts.org/part/pIKERightCassette_1/BBa_C0040/location3]; ; ; Property: components[5].subComponents[5].hasLocation; ; ; Entity URI: http://www.virtualparts.org/part/pIKERightCassette_1/BBa_C0040; ; ; Entity Type: class org.sbolstandard.core3.entity.SubComponent; ; sbol3-10807 - If a SubComponent object has at least one hasLocation and zero sourceLocation properties;  and the Component linked by its instanceOf has precisely one hasSequence property whose Sequence has a value for its elements property;  then the sum of the lengths of the Location objects referred to by the hasLocation properties MUST equal the length of the elements value of the Sequence. ADDITIONAL INFORMATION: Sequence length:12;  Calculated location length:13;  Sequence: http://www.virtualparts.org/part/BBa_J61101; ; ; Value: [http://www.virtualparts.org/part/pIKELeftCassette_1/BBa_J61101/location2]; ; ; Property: components[0].subComponents[3].hasLocation; ; ; Entity URI: http://www.virtualparts.org/part/pIKELeftCassette_1/BBa_J61101; ; ; Entity Type: class org.sbolstandard.core3.entity.SubComponent; ; sbol3-10807 - If a SubComponent object has at least one hasLocation and zero sourceLocation properties;  and the Component linked by its instanceOf has precisely one hasSequence property whose Sequence has a value for its elements property;  then the sum of the lengths of the Location objects referred to by the hasLocation properties MUST equal the length of the elements value of the Sequence. ADDITIONAL INFORMATION: Sequence length:90;  Calculated location length:91;  Sequence: http://www.virtualparts.org/part/ECK120033736; ; ; Value: [http://www.virtualparts.org/part/pIKERightCassette_1/ECK120033736/location6]; ; ; Property: components[5].subComponents[4].hasLocation; ; ; Entity URI: http://www.virtualparts.org/part/pIKERightCassette_1/ECK120033736; ; ; Entity Type: class org.sbolstandard.core3.entity.SubComponent; ; sbol3-10807 - If a SubComponent object has at least one hasLocation and zero sourceLocation properties;  and the Component linked by its instanceOf has precisely one hasSequence property whose Sequence has a value for its elements property;  then the sum of the lengths of the Location objects referred to by the hasLocation properties MUST equal the length of the elements value of the Sequence. ADDITIONAL INFORMATION: Sequence length:90;  Calculated location length:91;  Sequence: http://www.virtualparts.org/part/ECK120029600; ; ; Value: [http://www.virtualparts.org/part/pIKELeftCassette_1/ECK120029600/location4]; ; ; Property: components[0].subComponents[0].hasLocation; ; ; Entity URI: http://www.virtualparts.org/part/pIKELeftCassette_1/ECK120029600; ; ; Entity Type: class org.sbolstandard.core3.entity.SubComponent; ; sbol3-10807 - If a SubComponent object has at least one hasLocation and zero sourceLocation properties;  and the Component linked by its instanceOf has precisely one hasSequence property whose Sequence has a value for its elements property;  then the sum of the lengths of the Location objects referred to by the hasLocation properties MUST equal the length of the elements value of the Sequence. ADDITIONAL INFORMATION: Sequence length:720;  Calculated location length:721;  Sequence: http://www.virtualparts.org/part/BBa_E0040; ; ; Value: [http://www.virtualparts.org/part/pIKERightCassette_1/BBa_E0040/location5]; ; ; Property: components[5].subComponents[2].hasLocation; ; ; Entity URI: http://www.virtualparts.org/part/pIKERightCassette_1/BBa_E0040; ; ; Entity Type: class org.sbolstandard.core3.entity.SubComponent; ; sbol3-10807 - If a SubComponent object has at least one hasLocation and zero sourceLocation properties;  and the Component linked by its instanceOf has precisely one hasSequence property whose Sequence has a value for its elements property;  then the sum of the lengths of the Location objects referred to by the hasLocation properties MUST equal the length of the elements value of the Sequence. ADDITIONAL INFORMATION: Sequence length:12;  Calculated location length:13;  Sequence: http://www.virtualparts.org/part/BBa_J61120; ; ; Value: [http://www.virtualparts.org/part/pIKERightCassette_1/BBa_J61120/location2]; ; ; Property: components[5].subComponents[3].hasLocation; ; ; Entity URI: http://www.virtualparts.org/part/pIKERightCassette_1/BBa_J61120; ; ; Entity Type: class org.sbolstandard.core3.entity.SubComponent
10, ComponentDefinitionOutput_gl.xml, VALERROR, Could not validate the SBOL document:; sbol3-10807 - If a SubComponent object has at least one hasLocation and zero sourceLocation properties;  and the Component linked by its instanceOf has precisely one hasSequence property whose Sequence has a value for its elements property;  then the sum of the lengths of the Location objects referred to by the hasLocation properties MUST equal the length of the elements value of the Sequence. ADDITIONAL INFORMATION: Sequence length:54;  Calculated location length:55;  Sequence: http://partsregistry.org/seq/BBa_R0040; ; ; Value: [http://partsregistry.org/cd/BBa_F2620/pTetR/range]; ; ; Property: components[6].subComponents[4].hasLocation; ; ; Entity URI: http://partsregistry.org/cd/BBa_F2620/pTetR; ; ; Entity Type: class org.sbolstandard.core3.entity.SubComponent; ; sbol3-10807 - If a SubComponent object has at least one hasLocation and zero sourceLocation properties;  and the Component linked by its instanceOf has precisely one hasSequence property whose Sequence has a value for its elements property;  then the sum of the lengths of the Location objects referred to by the hasLocation properties MUST equal the length of the elements value of the Sequence. ADDITIONAL INFORMATION: Sequence length:701;  Calculated location length:13;  Sequence: http://partsregistry.org/seq/BBa_C0062; ; ; Value: [http://partsregistry.org/cd/BBa_F2620/rbs/range]; ; ; Property: components[6].subComponents[2].hasLocation; ; ; Entity URI: http://partsregistry.org/cd/BBa_F2620/rbs; ; ; Entity Type: class org.sbolstandard.core3.entity.SubComponent; ; sbol3-10807 - If a SubComponent object has at least one hasLocation and zero sourceLocation properties;  and the Component linked by its instanceOf has precisely one hasSequence property whose Sequence has a value for its elements property;  then the sum of the lengths of the Location objects referred to by the hasLocation properties MUST equal the length of the elements value of the Sequence. ADDITIONAL INFORMATION: Sequence length:55;  Calculated location length:56;  Sequence: http://partsregistry.org/seq/BBa_R0062; ; ; Value: [http://partsregistry.org/cd/BBa_F2620/pLuxR/range]; ; ; Property: components[6].subComponents[3].hasLocation; ; ; Entity URI: http://partsregistry.org/cd/BBa_F2620/pLuxR; ; ; Entity Type: class org.sbolstandard.core3.entity.SubComponent; ; sbol3-10807 - If a SubComponent object has at least one hasLocation and zero sourceLocation properties;  and the Component linked by its instanceOf has precisely one hasSequence property whose Sequence has a value for its elements property;  then the sum of the lengths of the Location objects referred to by the hasLocation properties MUST equal the length of the elements value of the Sequence. ADDITIONAL INFORMATION: Sequence length:129;  Calculated location length:130;  Sequence: http://partsregistry.org/seq/BBa_B0015; ; ; Value: [http://partsregistry.org/cd/BBa_F2620/ter/range]; ; ; Property: components[6].subComponents[1].hasLocation; ; ; Entity URI: http://partsregistry.org/cd/BBa_F2620/ter; ; ; Entity Type: class org.sbolstandard.core3.entity.SubComponent; ; sbol3-10807 - If a SubComponent object has at least one hasLocation and zero sourceLocation properties;  and the Component linked by its instanceOf has precisely one hasSequence property whose Sequence has a value for its elements property;  then the sum of the lengths of the Location objects referred to by the hasLocation properties MUST equal the length of the elements value of the Sequence. ADDITIONAL INFORMATION: Sequence length:12;  Calculated location length:702;  Sequence: http://partsregistry.org/seq/BBa_B0034; ; ; Value: [http://partsregistry.org/cd/BBa_F2620/luxR/range]; ; ; Property: components[6].subComponents[0].hasLocation; ; ; Entity URI: http://partsregistry.org/cd/BBa_F2620/luxR; ; ; Entity Type: class org.sbolstandard.core3.entity.SubComponent
11, sequence4.xml, DIFF, [ComponentDefinition http://www.async.ece.utah.edu/L00727/1 differ., ComponentDefinition http://www.async.ece.utah.edu/U49845/1 differ.]
